#K-Path     Band-1    Band-2    Band-3    Band-4      ...     Band-n
  0.0000  -19.5136   -7.6123   -3.0131   -3.0003    3.2821    4.0811    4.4436    5.3541    5.8128    7.4840    8.0955    8.3094    8.4068   10.4296   11.2293   11.4678
  0.0377  -19.5097   -7.6077   -3.0291   -3.0091    3.2873    4.0864    4.4490    5.3594    5.8181    7.4893    8.1002    8.3140    8.4230   10.4348   11.2346   11.4540
  0.0754  -19.4980   -7.5938   -3.0777   -3.0347    3.3031    4.1024    4.4652    5.3755    5.8341    7.5052    8.1142    8.3268    8.4721   10.4504   11.2507   11.4129
  0.1131  -19.4786   -7.5706   -3.1582   -3.0765    3.3294    4.1291    4.4922    5.4022    5.8608    7.5316    8.1374    8.3458    8.5547   10.4764   11.2775   11.3446
  0.1508  -19.4515   -7.5382   -3.2692   -3.1336    3.3662    4.1664    4.5299    5.4396    5.8981    7.5687    8.1695    8.3698    8.6700   10.5128   11.2499   11.3151
  0.1884  -19.4166   -7.4966   -3.4091   -3.2051    3.4136    4.2144    4.5785    5.4877    5.9461    7.6163    8.2096    8.3979    8.8167   10.5595   11.1296   11.3632
  0.2261  -19.3740   -7.4457   -3.5760   -3.2896    3.4715    4.2730    4.6378    5.5465    6.0047    7.6745    8.2559    8.4301    8.9934   10.6164   10.9849   11.4220
  0.2638  -19.3236   -7.3857   -3.7678   -3.3858    3.5399    4.3422    4.7080    5.6160    6.0740    7.7432    8.3043    8.4686    9.1983   10.6824   10.8180   11.4914
  0.3015  -19.2656   -7.3166   -3.9822   -3.4920    3.6188    4.4221    4.7889    5.6962    6.1540    7.8224    8.3479    8.5187    9.4298   10.6223   10.7654   11.5713
  0.3392  -19.1998   -7.2384   -4.2169   -3.6068    3.7082    4.5126    4.8806    5.7870    6.2446    7.9122    8.3795    8.5860    9.6861   10.4124   10.8520   11.6617
  0.3769  -19.1264   -7.1511   -4.4699   -3.7286    3.8082    4.6137    4.9831    5.8884    6.3458    8.0123    8.3969    8.6717    9.9656   10.1819   10.9503   11.7625
  0.4146  -19.0452   -7.0549   -4.7389   -3.8560    3.9187    4.7254    5.0964    6.0005    6.4577    8.1228    8.4020    8.7735    9.9334   10.2663   11.0590   11.8736
  0.4523  -18.9565   -6.9498   -5.0219   -3.9876    4.0397    4.8476    5.2205    6.1231    6.5803    8.2434    8.3968    8.8891    9.6687   10.5868   11.1780   11.9952
  0.4900  -18.8602   -6.8359   -5.3170   -4.1222    4.1711    4.9804    5.3554    6.2564    6.7134    8.3734    8.3830    9.0171    9.3900   10.9254   11.3072   12.1271
  0.5276  -18.7562   -6.7132   -5.6225   -4.2585    4.3131    5.1236    5.5011    6.4000    6.8570    8.3618    8.5107    9.1011    9.1570   11.2805   11.4465   12.2693
  0.5653  -18.6447   -6.5820   -5.9368   -4.3955    4.4655    5.2772    5.6575    6.5540    7.0110    8.3342    8.6287    8.8301    9.3081   11.5959   11.6506   12.4219
  0.6030  -18.5257   -6.4422   -6.2583   -4.5321    4.6284    5.4410    5.8248    6.7181    7.1753    8.3016    8.4472    8.8589    9.4704   11.7553   12.0343   12.5848
  0.6407  -18.3992   -6.5857   -6.2941   -4.6675    4.8017    5.6147    6.0028    6.8914    7.3496    8.1336    8.2651    9.0226    9.6436   11.9246   12.4300   12.7580
  0.6784  -18.2653   -6.9179   -6.1379   -4.8010    4.9854    5.7979    6.1915    7.0709    7.5329    7.8099    8.2267    9.2039    9.8276   12.1036   12.8365   12.9415
  0.7161  -18.1240   -7.2536   -5.9736   -4.9317    5.1795    5.9892    6.3911    7.2293    7.5118    7.7229    8.1896    9.3972   10.0224   12.2923   13.1353   13.2522
  0.7538  -17.9753   -7.5918   -5.8017   -5.0590    5.3839    6.1841    6.6013    7.0869    7.5257    7.9072    8.1670    9.6014   10.2278   12.4904   13.3393   13.6755
  0.7915  -17.8194   -7.9317   -5.6222   -5.1824    5.5985    6.3550    6.7980    6.8223    7.7265    8.0119    8.2338    9.8162   10.4438   12.6978   13.5536   14.1051
  0.8292  -17.6563   -8.2724   -5.4355   -5.3014    5.8234    6.2884    6.7409    7.0539    7.9507    8.0011    8.4265   10.0413   10.6704   12.9141   13.7780   14.5392
